date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,temperature,humidity,wind_speed,year,month,day,day_of_week,season,pm2_5_lag1,pm10_lag1,us_aqi_lag1,pm2_5_roll3,pm10_roll3,us_aqi_roll3,pm_ratio,dust_wind,temp_humidity,season_encoded
2022-08-08,103.125,62.74583333333334,607.625,94.85833333333332,18.945833333333333,152.66666666666666,0.35375,29.25,2.2729166666666667,207.16666666666663,109.58333333333331,38.36666666666667,35.583333333333336,10.9,2022,8,8,0,Summer,93.75833333333333,150.69166666666666,180.29166666666663,71.31805555555555,114.1736111111111,158.40833333333333,0.6084444385443772,2.6834859923407346,1365.213888888889,2
2022-08-09,76.59583333333333,45.35833333333333,602.625,107.9125,24.2125,63.375,0.3391666666666666,26.083333333333332,2.3666666666666667,146.79166666666666,85.625,36.75,44.541666666666664,11.4625,2022,8,9,1,Summer,62.74583333333334,103.125,207.16666666666663,74.25138888888888,119.62916666666666,179.8472222222222,0.5921775476188537,2.275535970145899,1636.90625,2
2022-08-10,114.8625,59.2875,766.9166666666666,115.25416666666666,26.708333333333332,99.54166666666669,0.485,66.875,2.1416666666666666,144.58333333333334,79.58333333333333,36.0875,54.166666666666664,12.558333333333332,2022,8,10,2,Summer,45.35833333333333,76.59583333333333,146.79166666666666,67.2875,110.1375,178.0833333333333,0.5161606223427088,5.325148879218405,1954.7395833333333,2
2022-08-11,165.525,75.74166666666666,938.3333333333334,137.95416666666668,36.704166666666666,72.91666666666667,0.6341666666666667,133.33333333333334,1.9541666666666664,157.08333333333334,97.45833333333331,35.8125,54.916666666666664,11.716666666666669,2022,8,11,3,Summer,59.2875,114.8625,144.58333333333334,55.79722222222222,98.19444444444444,166.18055555555554,0.4575844507420765,11.37979988223614,1966.703125,2
2022-08-12,190.825,116.43333333333334,1071.5833333333333,117.54166666666669,25.47083333333333,105.625,0.7383333333333333,53.916666666666664,1.8875,167.625,109.0,37.454166666666666,41.625,13.1125,2022,8,12,4,Summer,75.74166666666666,165.525,157.08333333333334,60.12916666666666,118.99444444444445,149.48611111111111,0.6101576456081524,4.111852244409107,1559.0296875,2
2022-08-13,140.45416666666668,81.56666666666666,661.1666666666666,77.6125,13.625,92.16666666666669,0.4645833333333333,56.5,2.19375,180.5,130.75,39.03333333333333,18.166666666666668,15.329166666666666,2022,8,13,5,Summer,116.43333333333334,190.825,167.625,83.82083333333334,157.07083333333335,156.43055555555557,0.5807351111164251,3.685783940041276,709.1055555555556,2
2022-08-14,111.98333333333332,58.62916666666666,717.5416666666666,120.05833333333334,27.920833333333334,65.45833333333333,0.47125,73.79166666666667,2.1666666666666665,158.33333333333334,97.04166666666669,36.18333333333333,35.791666666666664,14.804166666666667,2022,8,14,6,Summer,81.56666666666666,140.45416666666668,180.5,91.24722222222222,165.6013888888889,168.4027777777778,0.5235526073205602,4.984519787141923,1295.0618055555553,2
2022-08-15,66.8,36.875,540.1666666666666,91.21666666666664,24.620833333333337,79.75,0.4879166666666667,24.25,1.2333333333333334,132.0,79.16666666666667,34.800000000000004,50.833333333333336,10.383333333333333,2022,8,15,0,Summer,58.62916666666666,111.98333333333332,158.33333333333334,85.54305555555555,147.75416666666666,168.81944444444443,0.5520209498200457,2.3354732903235997,1769.0000000000002,2
2022-08-16,83.82916666666667,48.03333333333333,644.625,104.90833333333336,25.058333333333337,84.83333333333333,0.6291666666666667,26.583333333333332,1.9979166666666668,112.16666666666669,70.625,34.40416666666667,55.75,11.720833333333331,2022,8,16,1,Summer,36.875,66.8,132.0,59.02361111111111,106.41250000000001,156.94444444444446,0.5729906984682257,2.268041043608301,1918.0322916666669,2
2022-08-17,93.56666666666666,55.23333333333333,767.5416666666666,131.07083333333333,35.483333333333334,63.208333333333336,0.49875,23.666666666666668,2.0625,147.41666666666666,84.375,33.858333333333334,60.5,11.2875,2022,8,17,2,Summer,48.03333333333333,83.82916666666667,112.16666666666669,47.84583333333333,87.53749999999998,134.16666666666669,0.5903099331281446,2.0967144690987554,2048.429166666667,2
