date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,temperature,humidity,wind_speed
2022-08-05,86.75833333333333,53.94583333333333,737.4583333333334,106.075,30.816666666666663,48.083333333333336,0.5108333333333334,25.458333333333332,2.0395833333333333,142.85,82.15,35.03333333333333,58.791666666666664,10.570833333333335
2022-08-06,105.07083333333333,66.25,889.5,137.6625,34.55833333333333,43.291666666666664,0.5133333333333333,30.125,2.13125,152.08333333333334,88.04166666666667,36.204166666666666,45.416666666666664,10.158333333333333
2022-08-07,150.69166666666666,93.75833333333333,813.5833333333334,119.61666666666667,23.90416666666667,120.0,0.5733333333333334,41.041666666666664,1.8895833333333336,180.29166666666663,98.41666666666669,37.49583333333333,33.208333333333336,12.3375
2022-08-08,103.125,62.74583333333334,607.625,94.85833333333332,18.945833333333333,152.66666666666666,0.35375,29.25,2.2729166666666667,207.16666666666663,109.58333333333331,38.36666666666667,35.583333333333336,10.9
2022-08-09,76.59583333333333,45.35833333333333,602.625,107.9125,24.2125,63.375,0.3391666666666666,26.083333333333332,2.3666666666666667,146.79166666666666,85.625,36.75,44.541666666666664,11.4625
2022-08-10,114.8625,59.2875,766.9166666666666,115.25416666666666,26.708333333333332,99.54166666666669,0.485,66.875,2.1416666666666666,144.58333333333334,79.58333333333333,36.0875,54.166666666666664,12.558333333333332
2022-08-11,165.525,75.74166666666666,938.3333333333334,137.95416666666668,36.704166666666666,72.91666666666667,0.6341666666666667,133.33333333333334,1.9541666666666664,157.08333333333334,97.45833333333331,35.8125,54.916666666666664,11.716666666666667
2022-08-12,190.825,116.43333333333334,1071.5833333333333,117.54166666666669,25.47083333333333,105.625,0.7383333333333333,53.916666666666664,1.8875,167.625,109.0,37.454166666666666,41.625,13.112499999999999
2022-08-13,140.45416666666668,81.56666666666666,661.1666666666666,77.6125,13.625,92.16666666666669,0.4645833333333333,56.5,2.19375,180.5,130.75,39.03333333333333,18.166666666666668,15.329166666666666
2022-08-14,111.98333333333332,58.62916666666666,717.5416666666666,120.05833333333334,27.920833333333334,65.45833333333333,0.47125,73.79166666666667,2.1666666666666665,158.33333333333334,97.04166666666669,36.18333333333333,35.791666666666664,14.804166666666667
2022-08-15,66.8,36.875,540.1666666666666,91.21666666666664,24.620833333333337,79.75,0.4879166666666667,24.25,1.2333333333333334,132.0,79.16666666666667,34.800000000000004,50.833333333333336,10.383333333333333
2022-08-16,83.82916666666667,48.03333333333333,644.625,104.90833333333336,25.058333333333337,84.83333333333333,0.6291666666666667,26.583333333333332,1.9979166666666668,112.16666666666669,70.625,34.40416666666667,55.75,11.720833333333333
2022-08-17,93.56666666666666,55.23333333333333,767.5416666666666,131.07083333333333,35.483333333333334,63.208333333333336,0.49875,23.666666666666668,2.0625,147.41666666666666,84.375,33.858333333333334,60.5,11.2875
